School_id,Name,Location,Tuition
0,Princeton University,"Princeton, NJ",45320
1,Harvard University,"Cambridge, MA",47074
2,University of Chicago,"Chicago, IL",52491
3,Yale University,"New Haven, CT",49480
4,Columbia University,"New York, NY",55056
5,Stanford University,"Stanford, CA",47940
6,Massachusetts Institute of Technology,"Cambridge, MA",48452
7,Duke University,"Durham, NC",51265
8,University of Pennsylvania,"Philadelphia, PA",51464
9,Johns Hopkins University,"Baltimore, MD",50410
10,Dartmouth College,"Hanover, NH",51438
11,California Institute of Technology,"Pasadena, CA",47577
12,Northwestern University,"Evanston, IL",50855
13,Brown University,"Providence, RI",51367
14,Cornell University,"Ithaca, NY",50953
15,Rice University,"Houston, TX",43918
16,University of Notre Dame,"Notre Dame, IN",49685
17,Vanderbilt University,"Nashville, TN",45610
18,Washington University in St. Louis,"St. Louis, MO",49770
19,Emory University,"Atlanta, GA",47954
20,Georgetown University,"Washington, DC",50547
21,University of California--Berkeley,"Berkeley, CA",40191
22,University of Southern California,"Los Angeles, CA",52217
23,Carnegie Mellon University,"Pittsburgh, PA",52040
24,University of California--Los Angeles,"Los Angeles, CA",39518
25,University of Virginia,"Charlottesville, VA",45066
26,Tufts University,"Medford, MA",52430
27,University of Michigan--Ann Arbor,"Ann Arbor, MI",43476
28,Wake Forest University,"Winston-Salem, NC",49308
29,University of North Carolina--Chapel Hill,"Chapel Hill, NC",33916
30,Boston College,"Chestnut Hill, MA",51296
31,College of William & Mary,"Williamsburg, VA",41718
32,University of Rochester,"Rochester, NY",50142
33,Brandeis University,"Waltham, MA",51570
34,Georgia Institute of Technology,"Atlanta, GA",32404
35,New York University,"New York, NY",49062
36,Case Western Reserve University,"Cleveland, OH",46006
37,University of California--Santa Barbara,"Santa Barbara, CA",40704
38,Boston University,"Boston, MA",50240
39,Northeastern University,"Boston, MA",47655
40,Rensselaer Polytechnic Institute,"Troy, NY",50797
41,Tulane University,"New Orleans, LA",51010
42,University of California--Irvine,"Irvine, CA",39458
43,Lehigh University,"Bethlehem, PA",48320
44,University of California--Davis,"Davis, CA",40728
45,University of California--San Diego,"La Jolla, CA",41387
46,University of Illinois--Urbana-Champaign,"Champaign, IL",31320
47,University of Miami,"Coral Gables, FL",47004
48,University of Wisconsin--Madison,"Madison, WI",32738
49,Pepperdine University,"Malibu, CA",50022
50,University of Florida,"Gainesville, FL",28666
51,Villanova University,"Villanova, PA",49280
52,Pennsylvania State University--University Park,"University Park, PA",32382
53,Ohio State University--Columbus,"Columbus, OH",29229
54,University of Washington,"Seattle, WA",34791
55,George Washington University,"Washington, DC",51950
56,Southern Methodist University,"Dallas, TX",50358
57,University of Georgia,"Athens, GA",29844
58,University of Texas--Austin,"Austin, TX",34676
59,Fordham University,"New York, NY",47317
60,Purdue University--West Lafayette,"West Lafayette, IN",28804
61,Syracuse University,"Syracuse, NY",45022
62,University of Connecticut,"Storrs, CT",35858
63,University of Maryland--College Park,"College Park, MD",32045
64,Worcester Polytechnic Institute,"Worcester, MA",46994
65,Clemson University,"Clemson, SC",32796
66,Yeshiva University,"New York, NY",40670
67,Brigham Young University--Provo,"Provo, UT",5300
68,University of Pittsburgh,"Pittsburgh, PA",29758
69,Rutgers University--New Brunswick,"Piscataway, NJ",30023
70,Baylor University,"Waco, TX",42006
71,Stevens Institute of Technology,"Hoboken, NJ",48838
72,University of Minnesota--Twin Cities,"Minneapolis, MN",22210
73,American University,"Washington, DC",44853
74,Clark University,"Worcester, MA",43150
75,Texas A&M University--College Station,"College Station, TX",28768
76,University of Massachusetts--Amherst,"Amherst, MA",30123
77,Virginia Tech,"Blacksburg, VA",29371
78,Miami University--Oxford,"Oxford, OH",31592
79,University of California--Santa Cruz,"Santa Cruz, CA",40241
80,University of Delaware,"Newark, DE",31420
81,Colorado School of Mines,"Golden, CO",34828
82,Michigan State University,"East Lansing, MI",39090
83,Texas Christian University,"Fort Worth, TX",42670
84,University of Iowa,"Iowa City, IA",28413
85,Binghamton University--SUNY,"Binghamton, NY",22164
86,Indiana University--Bloomington,"Bloomington, IN",34246
87,Marquette University,"Milwaukee, WI",38470
88,University of Denver,"Denver, CO",46362
89,University of San Diego,"San Diego, CA",46140
90,University of Tulsa,"Tulsa, OK",38796
91,Florida State University,"Tallahassee, FL",24673
92,North Carolina State University--Raleigh,"Raleigh, NC",26399
93,University of Colorado--Boulder,"Boulder, CO",35079
94,University of Vermont,"Burlington, VT",40364
95,Drexel University,"Philadelphia, PA",51030
96,Saint Louis University,"St. Louis, MO",40726
97,Stony Brook University--SUNY,"Stony Brook, NY",26266
98,Auburn University,"Auburn, AL",28840
99,Loyola University Chicago,"Chicago, IL",41384
100,SUNY College of Environmental Science and Forestry,"Syracuse, NY",17620
101,University at Buffalo--SUNY,"Buffalo, NY",26270
102,Illinois Institute of Technology,"Chicago, IL",45214
103,University of Alabama,"Tuscaloosa, AL",26950
104,University of Oregon,"Eugene, OR",33442
105,University of Tennessee,"Knoxville, TN",30858
106,Rochester Institute of Technology,"Rochester, NY",38568
107,University of New Hampshire,"Durham, NH",31424
108,University of San Francisco,"San Francisco, CA",44494
109,University of South Carolina,"Columbia, SC",31282
110,Iowa State University,"Ames, IA",21483
111,University of Dayton,"Dayton, OH",40940
112,University of Missouri,"Columbia, MO",25892
113,University of Nebraska--Lincoln,"Lincoln, NE",23148
114,University of Oklahoma,"Norman, OK",21451
115,University of the Pacific,"Stockton, CA",44588
116,University of Utah,"Salt Lake City, UT",27039
117,Michigan Technological University,"Houghton, MI",30968
118,Seton Hall University,"South Orange, NJ",39258
119,Temple University,"Philadelphia, PA",25994
120,University of California--Riverside,"Riverside, CA",40263
121,University of Kansas,"Lawrence, KS",25932
122,University of St. Thomas,"St. Paul, MN",39594
123,The Catholic University of America,"Washington, DC",42536
124,DePaul University,"Chicago, IL",37626
125,Duquesne University,"Pittsburgh, PA",35062
126,Howard University,"Washington, DC",24908
127,University of Arizona,"Tucson, AZ",30025
128,Arizona State University--Tempe,"Tempe, AZ",25458
129,Clarkson University,"Potsdam, NY",46132
130,Colorado State University,"Fort Collins, CO",28374
131,New School,"New York, NY",45535
132,Hofstra University,"Hempstead, NY",42160
133,University of Kentucky,"Lexington, KY",26334
134,Kansas State University,"Manhattan, KS",23429
135,Louisiana State University--Baton Rouge,"Baton Rouge, LA",27005
136,Mercer University,"Macon, GA",35130
137,New Jersey Institute of Technology,"Newark, NJ",30326
138,Rutgers University--Newark,"Newark, NJ",29480
139,University of Arkansas,"Fayetteville, AR",23168
140,University of Cincinnati,"Cincinnati, OH",26334
141,University of Mississippi,"University, MS",22012
142,George Mason University,"Fairfax, VA",32582
143,Oregon State University,"Corvallis, OR",28846
144,Washington State University,"Pullman, WA",25673
145,Adelphi University,"Garden City, NY",34034
146,Ohio University,"Athens, OH",21208
147,San Diego State University,"San Diego, CA",18244
148,St. John Fisher College,"Rochester, NY",31880
149,University at Albany--SUNY,"Albany, NY",22244
150,University of Texas--Dallas,"Richardson, TX",33654
151,Illinois State University,"Normal, IL",20886
152,Immaculata University,"Immaculata, PA",35210
153,Oklahoma State University,"Stillwater, OK",20978
154,University of California--Merced,"Merced, CA",39944
155,University of Illinois--Chicago,"Chicago, IL",26526
156,University of La Verne,"La Verne, CA",39900
157,University of Massachusetts--Lowell,"Lowell, MA",29125
158,Seattle Pacific University,"Seattle, WA",38940
159,University of Alabama--Birmingham,"Birmingham, AL",17654
160,University of Maryland--Baltimore County,"Baltimore, MD",24492
161,University of Rhode Island,"Kingston, RI",28852
162,University of South Florida,"Tampa, FL",17325
163,Biola University,"La Mirada, CA",36696
164,Maryville University of St. Louis,"St Louis, MO",27958
165,Missouri University of Science & Technology,"Rolla, MO",26152
166,St. John's University,"Queens, NY",39460
167,Virginia Commonwealth University,"Richmond, VA",31608
168,Union University,"Jackson, TN",30420
169,University of Hawaii--Manoa,"Honolulu, HI",33764
170,Edgewood College,"Madison, WI",27530
171,Florida Institute of Technology,"Melbourne, FL",40446
172,University of Idaho,"Moscow, ID",22040
173,University of Louisville,"Louisville, KY",24626
174,University of Wyoming,"Laramie, WY",16215
175,Ball State University,"Muncie, IN",25428
176,Lipscomb University,"Nashville, TN",29756
177,Mississippi State University,"Mississippi State, MS",20142
178,Montclair State University,"Montclair, NJ",20318
179,Texas Tech University,"Lubbock, TX",22861
180,University of Central Florida,"Orlando, FL",22467
181,University of New Mexico,"Albuquerque, NM",21302
182,Andrews University,"Berrien Springs, MI",27684
183,Azusa Pacific University,"Azusa, CA",36120
184,University of Maine,"Orono, ME",29498
185,West Virginia University,"Morgantown, WV",21432
186,Widener University,"Chester, PA",42870
187,Kent State University,"Kent, OH",18376
188,North Dakota State University,"Fargo, ND",19790
189,Pace University,"New York, NY",42772
190,Robert Morris University,"Moon Township, PA",28250
191,Suffolk University,"Boston, MA",35578
192,University of Hartford,"West Hartford, CT",37790
193,Bowling Green State University,"Bowling Green, OH",18332
194,University of Houston,"Houston, TX",25410
195,Western Michigan University,"Kalamazoo, MI",25713
196,Indiana University-Purdue University--Indianapolis,"Indianapolis, IN",29791
197,Lesley University,"Cambridge, MA",25750
198,University of Alabama--Huntsville,"Huntsville, AL",20622
199,University of Colorado--Denver,"Denver, CO",29334
200,University of Nevada--Reno,"Reno, NV",21052
201,California State University--Fullerton,"Fullerton, CA",17596
202,Central Michigan University,"Mount Pleasant, MI",23670
203,Louisiana Tech University,"Ruston, LA",25851
204,South Dakota State University,"Brookings, SD",11403
205,University of Alaska--Fairbanks,"Fairbanks, AK",22469
206,University of North Carolina--Charlotte,"Charlotte, NC",20193
207,University of North Dakota,"Grand Forks, ND",18899
208,University of South Dakota,"Vermillion, SD",11688
209,East Carolina University,"Greenville, NC",22904
210,Montana State University,"Bozeman, MT",23042
211,Old Dominion University,"Norfolk, VA",27028
212,University of Missouri--Kansas City,"Kansas City, MO",22714
213,Ashland University,"Ashland, OH",20392
214,Dallas Baptist University,"Dallas, TX",26180
215,Northern Illinois University,"DeKalb, IL",23799
216,Nova Southeastern University,"Ft. Lauderdale, FL",27660
217,Southern Illinois University--Carbondale,"Carbondale, IL",27130
218,University of Montana,"Missoula, MT",24562
219,Benedictine University,"Lisle, IL",32170
220,California State University--Fresno,"Fresno, CA",17209
221,Gardner-Webb University,"Boiling Springs, NC",29850
222,New Mexico State University,"Las Cruces, NM",21234
223,Shenandoah University,"Winchester, VA",31322
224,Tennessee Technological University,"Cookeville, TN",24800
225,University of Massachusetts--Boston,"Boston, MA",32023
226,University of Massachusetts--Dartmouth,"North Dartmouth, MA",19270
227,University of Missouri--St. Louis,"St. Louis, MO",26277
228,University of North Carolina--Greensboro,"Greensboro, NC",21595
229,University of Southern Mississippi,"Hattiesburg, MS",16094
230,Utah State University,"Logan, UT",19772
231,Florida International University,"Miami, FL",
232,City University of New York,"New York, NY",
233,Northern Arizona University,"Flagstaff, AZ",
234,University of North Texas,"Denton, TX",
235,University of Texas at San Antonio,"San Antonio, TX",
236,University of Texas El Paso,"El Paso, TX",
237,University of Toledo,"Toledo, OH",
238,Cleveland State University,"Cleveland, OH",
239,CUNY The City College of New York,"New York, NY",
240,Florida Atlantic University - Boca Raton,"Boca Raton, FL",
241,Portland State University,"Portland, OR",
242,San Francisco State University,"San Francisco, CA",
243,Seattle University,"Seattle, WA",
244,University of Memphis,"Memphis, TN",
245,University of South Alabama (USA),"Mobile, AL",
246,University of Wisconsin Milwaukee,"Milwaukee, WI",
247,California Polytechnic State University,"San Luis Obispo, CA",
248,California State University - Los Angeles,"Los Angeles, CA",
249,"California State University, Long Beach","Long Beach, CA",
250,Humboldt State University,"Arcata, CA",
251,Indiana State University,"Terre Haute, IN",
252,University of Central Oklahoma,"Edmond, OK",
253,Western Washington University,"Bellingham, WA",
254,Wayne State University,"Detroit, MI",
255,Georgia State University,"Atlanta, GA",
256, Swarthmore College,"Swarthmore, PA",
257,University of Texas--Arlington,"Arlington, TX",